$x1,$x2,$x3,$x4,$x5,$x6,$x7,$x8,$x9,$x10,$x11,$x12,$x13,$x14,$x15,$x16,$x17,$x18,$x19,$x20,$x21,$x22,$x23,$x24,$x25,$x26,$x27,$x28,$x29,$x30,$x31,$x32,$x33,$x34,$x35,$x36,$x37,$x38,$x39,$x40,$x41,$x42,$x43,$x44,$x45,$x46,$x47,$x48,$x49,$x50,>>f1,>>f2,>>f3
2,2,-1,3,1,2,2,0,2,1,0,1,-1,1,0,1,3,3,0,0,-1,3,0,3,2,0,0,0,0,2,0,2,0,3,2,0,-1,-1,1,1,1,1,3,-1,0,1,2,-1,1,2,96930.0,587,99417.0
0,0,3,1,0,2,-1,0,-1,3,-1,-1,3,-1,0,-1,2,0,1,2,-1,0,2,-1,2,2,1,2,0,1,1,1,1,2,1,3,2,2,0,0,0,2,2,3,1,2,3,0,1,1,97153.0,584,99436.0
0,-1,3,1,0,2,-1,1,-1,1,2,-1,1,3,2,1,0,-1,2,3,2,-1,0,0,1,3,1,-1,3,3,2,-1,3,0,2,-1,-1,0,2,0,0,1,0,0,1,2,3,0,2,2,97333.0,557,99462.0
2,-1,0,-1,-1,0,2,0,1,1,1,1,-1,1,0,-1,-1,0,3,3,-1,0,0,2,3,-1,1,1,2,-1,1,0,3,3,2,3,2,0,3,0,2,1,2,2,-1,2,-1,2,1,-1,97500.0,532,99488.0
2,1,2,-1,2,2,2,0,-1,3,3,1,0,2,-1,0,2,1,3,-1,1,-1,2,-1,0,1,0,3,0,2,0,3,0,1,3,0,2,2,0,1,2,-1,1,0,1,1,3,0,0,0,97157.0,595,99425.0
-1,1,0,0,2,-1,2,0,3,3,0,2,1,0,2,1,0,2,-1,-1,-1,2,0,-1,1,1,1,0,-1,3,1,3,-1,-1,2,1,0,0,2,3,1,1,3,2,0,0,-1,1,-1,1,97350.0,542,99483.0
1,2,2,1,3,0,0,1,2,1,2,0,3,0,2,-1,2,3,2,1,0,2,0,1,0,2,0,-1,-1,0,0,0,-1,2,-1,2,-1,-1,1,1,0,3,2,3,1,1,2,3,0,0,97032.0,601,99422.0
-1,0,0,2,1,1,0,2,-1,2,2,0,0,-1,-1,2,1,1,-1,2,2,2,1,2,1,0,3,-1,-1,1,0,2,3,0,1,3,0,1,1,-1,2,1,-1,0,1,1,0,-1,0,3,97250.0,560,99478.0
2,2,1,3,3,1,-1,0,1,3,-1,1,2,0,3,0,-1,0,3,3,1,3,2,0,1,0,1,0,0,1,-1,0,-1,2,3,1,-1,3,2,2,0,-1,-1,1,0,2,2,1,1,1,97220.0,586,99430.0
3,1,3,1,1,1,2,0,0,2,3,0,3,1,1,1,-1,1,3,0,2,0,2,0,1,1,2,3,0,2,3,0,0,3,3,2,1,3,3,0,1,2,2,3,2,2,0,0,0,3,96948.0,680,99354.0
2,0,2,0,0,1,3,1,2,2,2,1,3,3,1,0,-1,2,-1,3,1,2,1,1,0,0,1,1,2,0,2,1,-1,0,1,0,-1,3,-1,-1,2,-1,0,1,2,3,2,1,2,0,97110.0,600,99419.0
2,3,0,2,-1,1,0,0,1,2,2,2,0,1,0,-1,1,3,3,2,0,0,1,2,2,2,3,-1,1,1,0,0,0,3,-1,1,0,2,1,0,3,1,-1,0,-1,-1,1,3,1,0,97174.0,599,99434.0
3,2,2,2,0,1,-1,-1,1,3,2,-1,0,2,0,0,1,3,2,2,-1,0,1,2,-1,1,0,-1,1,1,2,-1,2,-1,1,0,0,2,0,0,1,-1,1,3,0,0,-1,2,0,3,97293.0,555,99470.0
0,2,2,1,3,2,1,-1,2,1,3,2,0,0,2,1,-1,-1,3,3,0,1,-1,2,2,3,3,-1,0,0,3,1,1,0,-1,0,2,1,1,1,2,2,0,3,1,0,0,2,1,0,97190.0,620,99433.0
-1,2,0,0,2,2,1,-1,0,0,2,0,1,1,-1,0,2,2,0,2,0,2,-1,-1,2,1,-1,3,0,-1,2,3,2,2,-1,0,1,1,-1,2,0,-1,1,3,-1,3,3,-1,1,3,97559.0,524,99511.0
-1,3,1,2,0,0,0,2,1,2,0,2,1,0,2,1,1,-1,2,3,2,0,1,3,0,0,-1,-1,3,1,-1,-1,-1,2,0,0,1,-1,3,-1,1,1,0,0,0,-1,1,2,-1,1,97430.0,542,99500.0
2,-1,0,-1,3,-1,1,1,2,1,0,2,0,1,2,0,2,1,0,3,1,2,3,0,0,2,1,0,3,1,0,-1,1,1,-1,3,2,3,-1,0,0,1,3,0,2,3,1,0,3,1,97091.0,606,99424.0
2,-1,1,-1,0,-1,2,3,0,0,1,0,2,1,1,0,1,3,-1,1,1,1,3,3,2,-1,2,2,2,1,1,3,-1,2,3,1,1,3,2,0,2,3,0,3,1,0,0,0,-1,3,97268.0,593,99434.0
0,1,2,1,2,0,3,3,0,2,-1,-1,0,-1,2,2,0,0,2,1,0,1,3,3,2,0,-1,3,2,2,0,3,1,-1,1,2,1,2,1,-1,1,3,0,0,2,2,1,1,3,0,97249.0,621,99422.0
2,2,-1,3,0,1,0,0,1,2,2,0,0,1,0,0,3,0,3,1,1,2,0,-1,2,-1,0,-1,2,0,0,2,1,1,3,2,-1,1,3,-1,-1,1,0,1,1,1,-1,2,1,0,96992.0,576,99437.0
2,0,-1,1,1,1,1,1,0,1,2,0,0,0,0,3,3,1,2,3,2,3,1,1,0,2,2,-1,2,-1,1,-1,-1,2,0,2,3,-1,3,0,1,1,2,3,3,2,1,2,3,-1,97169.0,591,99422.0
1,2,2,2,3,3,0,1,1,2,-1,1,0,3,3,1,0,2,3,0,0,2,0,1,0,1,1,1,3,2,1,2,-1,-1,2,-1,3,0,1,3,0,0,3,-1,2,2,0,0,-1,2,97170.0,614,99411.0
0,0,1,0,1,0,-1,0,1,3,3,3,3,1,1,1,-1,3,2,0,0,1,3,2,2,0,0,0,2,1,2,1,2,2,2,1,2,-1,0,2,3,1,2,-1,2,1,3,-1,3,1,97162.0,617,99403.0
0,0,-1,0,0,2,1,0,1,1,-1,1,0,-1,-1,-1,2,0,-1,0,3,1,3,2,0,3,1,2,1,1,1,3,1,1,0,0,2,2,-1,2,2,1,-1,-1,0,3,3,0,3,1,97122.0,563,99455.0
-1,2,2,1,1,2,3,1,1,0,0,0,2,3,-1,-1,-1,0,1,2,0,1,1,2,0,-1,2,1,3,2,2,3,-1,0,0,0,0,2,2,1,1,1,2,0,2,-1,2,1,3,0,97161.0,585,99432.0
2,2,1,-1,0,0,1,2,2,1,0,3,-1,1,3,1,3,2,3,1,2,3,0,3,0,-1,-1,3,1,1,2,2,0,2,3,-1,0,0,-1,2,3,1,2,2,0,0,1,3,2,1,97361.0,609,99432.0
2,2,3,0,1,1,1,3,3,2,-1,1,3,-1,2,2,3,0,0,2,1,2,-1,0,1,1,3,-1,1,1,0,2,0,0,3,1,1,0,-1,0,0,1,2,3,2,0,3,2,3,-1,97198.0,613,99417.0
-1,2,-1,3,1,3,0,3,1,1,3,3,0,1,-1,3,3,0,0,1,0,-1,2,-1,1,0,3,3,0,3,0,0,-1,0,0,2,1,2,3,0,2,1,3,3,-1,1,-1,2,1,1,97292.0,566,99439.0
2,1,2,3,0,1,2,0,1,0,1,3,1,2,0,2,0,0,2,2,-1,1,-1,0,1,3,3,0,0,1,2,3,2,0,-1,2,1,3,-1,-1,3,2,3,0,2,0,1,2,-1,3,97094.0,606,99416.0
3,1,-1,0,2,1,1,1,1,0,1,3,2,0,3,2,0,0,2,1,1,3,2,2,0,2,0,0,0,2,2,2,0,2,-1,0,1,-1,1,3,1,3,0,1,2,3,1,0,2,1,96906.0,646,99379.0
1,1,2,2,3,2,2,3,1,2,2,3,0,0,0,1,1,2,3,3,0,1,0,0,0,0,1,1,0,3,2,1,1,3,3,0,2,0,2,0,-1,3,1,2,1,3,-1,-1,0,2,97061.0,648,99379.0
0,2,0,0,1,-1,3,2,3,1,0,2,3,0,3,2,2,-1,2,1,0,1,3,3,2,-1,0,0,-1,3,2,1,0,2,0,2,2,-1,0,3,-1,1,0,1,0,1,3,1,-1,1,97225.0,586,99430.0
3,2,2,2,-1,1,3,1,1,3,1,-1,0,1,-1,0,3,2,2,0,2,0,-1,0,0,1,0,1,0,3,2,1,0,-1,-1,3,1,-1,2,1,-1,1,3,2,2,0,1,-1,2,1,97459.0,562,99478.0
0,2,-1,2,0,0,0,0,2,-1,2,2,3,-1,2,0,1,2,1,1,0,0,0,-1,1,2,-1,2,0,-1,3,1,1,1,1,1,-1,2,3,0,3,-1,0,1,0,1,2,1,3,1,97141.0,582,99441.0
3,2,1,-1,3,2,1,1,3,2,2,0,-1,0,0,2,2,0,3,2,1,-1,3,0,0,3,0,-1,3,0,1,0,2,3,-1,1,1,1,2,1,0,-1,1,2,2,0,-1,0,0,-1,97255.0,591,99446.0
3,-1,2,1,1,2,1,0,-1,3,0,2,0,0,0,3,3,0,-1,1,1,1,1,1,-1,-1,2,0,1,1,2,1,0,-1,1,3,3,2,3,-1,0,-1,1,0,0,2,-1,2,-1,3,97245.0,566,99460.0
1,3,3,1,0,2,0,0,2,3,2,1,-1,2,2,2,3,1,1,0,0,0,1,3,-1,0,1,0,1,1,-1,1,0,0,-1,0,1,-1,1,3,3,0,2,-1,3,1,2,-1,-1,-1,97325.0,574,99468.0
1,3,0,-1,1,1,0,-1,1,0,-1,3,-1,2,2,2,3,-1,3,0,0,2,-1,1,0,-1,1,1,-1,1,2,1,2,1,0,0,1,3,0,0,2,3,1,0,2,3,1,2,-1,2,97404.0,576,99483.0
0,2,-1,2,1,1,3,2,1,3,1,-1,1,-1,3,3,0,2,0,0,0,2,0,2,1,2,2,3,0,0,0,1,1,0,1,1,2,1,-1,2,0,-1,-1,-1,1,2,2,1,0,2,96978.0,590,99419.0
0,2,1,0,1,2,0,2,1,3,1,1,2,-1,-1,2,-1,0,-1,1,2,0,3,2,-1,1,3,2,3,-1,2,2,1,0,2,0,3,2,1,3,1,3,3,0,2,1,3,0,-1,-1,97375.0,584,99454.0
2,2,1,0,0,3,2,1,3,3,0,2,-1,1,1,1,3,3,2,0,1,2,1,1,2,0,2,-1,2,0,-1,1,-1,3,2,1,-1,1,3,3,0,0,0,3,1,2,-1,2,2,3,97336.0,620,99428.0
0,3,2,2,3,-1,0,3,0,0,1,-1,-1,-1,1,0,2,2,2,1,3,0,1,1,1,0,1,1,-1,2,1,-1,3,2,2,2,0,1,0,0,2,3,2,0,-1,3,3,1,0,3,97279.0,600,99449.0
3,-1,-1,2,0,1,1,2,2,2,0,0,-1,-1,1,0,0,0,2,1,3,-1,1,2,2,1,0,-1,3,3,1,2,2,-1,-1,3,0,2,2,0,2,0,-1,0,1,3,2,0,2,3,97327.0,566,99450.0
3,-1,2,0,1,3,0,-1,-1,0,-1,0,3,0,2,-1,-1,-1,2,0,1,1,2,-1,1,2,-1,0,1,2,2,0,2,2,2,-1,-1,-1,0,1,0,2,-1,3,2,3,-1,1,2,1,97551.0,509,99503.0
-1,2,1,2,1,2,3,1,0,2,-1,0,3,2,1,2,1,0,0,0,1,0,3,3,3,3,2,0,0,2,0,-1,1,-1,0,0,-1,3,1,3,1,2,-1,0,2,0,1,-1,0,1,97057.0,596,99427.0
2,2,1,0,2,2,-1,-1,0,0,1,3,0,1,2,0,3,1,-1,-1,1,1,1,0,2,1,3,1,-1,2,0,2,3,1,3,0,2,0,1,-1,0,0,0,1,3,-1,2,1,0,-1,97174.0,584,99454.0
0,2,1,0,1,-1,1,3,2,1,-1,2,1,0,3,2,-1,1,1,3,2,1,2,2,0,-1,1,1,0,3,0,-1,-1,1,0,0,2,3,-1,2,0,2,2,-1,3,3,0,-1,1,0,97145.0,562,99446.0
0,1,-1,3,2,1,3,-1,3,1,2,0,2,-1,0,-1,2,0,1,1,0,1,2,2,0,3,2,0,-1,2,0,0,1,-1,-1,-1,-1,-1,0,3,3,2,0,-1,-1,1,2,1,-1,-1,97607.0,497,99516.0
1,-1,-1,3,1,1,0,0,1,0,1,0,2,0,1,2,0,0,2,3,0,2,3,-1,3,0,1,2,2,2,2,2,-1,2,2,-1,1,1,0,0,1,3,0,1,2,-1,1,3,1,2,97022.0,601,99404.0
0,-1,0,1,0,1,1,3,-1,3,1,0,-1,1,3,2,2,-1,0,2,1,-1,1,1,1,2,1,2,-1,0,2,1,0,2,-1,0,1,2,2,1,0,2,1,-1,2,3,3,3,2,2,97281.0,592,99439.0
0,1,0,2,1,2,1,2,2,3,3,0,2,1,0,2,3,2,1,2,2,3,2,2,1,3,1,2,0,0,2,3,0,0,-1,3,3,2,1,3,0,0,3,0,3,3,-1,1,0,3,97048.0,670,99371.0
-1,2,1,-1,1,2,2,2,3,1,1,0,2,2,-1,2,3,1,0,1,1,1,0,0,3,1,0,-1,2,-1,0,1,3,-1,0,0,3,1,0,0,2,3,1,3,2,-1,-1,1,-1,2,97408.0,565,99484.0
-1,3,1,1,0,3,0,1,2,1,-1,0,1,3,1,1,2,1,2,0,1,3,0,0,-1,2,1,2,1,0,2,3,3,2,2,2,-1,0,-1,2,2,-1,3,0,3,0,-1,2,0,1,97070.0,600,99418.0
-1,1,3,2,2,0,2,2,-1,1,1,3,2,2,-1,-1,3,0,-1,1,2,1,0,2,0,2,3,0,0,0,0,-1,-1,3,1,3,0,1,1,3,1,0,2,3,1,2,0,0,2,0,97312.0,597,99443.0
0,0,1,1,1,2,1,3,3,2,2,1,3,1,1,3,-1,0,3,1,2,1,3,0,0,-1,0,3,2,2,3,1,-1,0,1,1,2,2,0,2,1,2,2,3,2,-1,-1,2,3,1,97227.0,618,99402.0
2,1,2,1,0,2,2,1,1,2,0,1,2,2,1,0,0,2,2,3,0,0,3,3,3,3,2,2,0,2,-1,1,3,-1,-1,1,0,0,-1,0,-1,1,1,1,0,1,-1,0,1,1,97198.0,609,99433.0
2,2,3,3,2,3,3,2,0,0,-1,0,1,3,0,3,0,1,0,1,-1,-1,0,3,-1,0,0,1,0,2,0,0,3,3,2,-1,3,-1,2,1,1,2,1,1,1,0,1,1,-1,0,96956.0,588,99406.0
-1,0,2,-1,2,2,-1,2,1,2,0,-1,1,2,1,-1,0,0,-1,3,1,2,1,0,0,2,2,3,3,3,1,0,1,3,-1,1,0,0,2,-1,2,1,1,0,3,0,3,2,2,-1,97502.0,578,99477.0
2,0,0,0,0,1,1,-1,-1,2,2,0,1,3,-1,2,1,2,0,-1,-1,2,2,2,-1,-1,1,-1,1,0,0,1,3,3,-1,0,2,0,1,1,0,2,3,1,2,1,1,1,1,0,97086.0,568,99453.0
2,0,1,2,2,2,-1,2,1,0,2,1,2,1,2,2,2,-1,0,1,0,0,1,1,-1,1,-1,1,3,1,2,0,-1,0,2,-1,2,0,1,0,3,-1,1,0,0,0,-1,-1,3,1,97175.0,577,99440.0
1,3,2,2,0,0,2,1,3,0,-1,2,0,-1,1,2,0,2,-1,2,3,2,0,1,1,0,3,2,2,3,-1,0,3,-1,-1,2,1,1,1,-1,0,1,0,1,2,0,3,2,2,1,97258.0,614,99447.0
-1,-1,-1,1,3,2,2,-1,-1,2,1,2,1,3,-1,2,2,0,1,1,1,0,1,2,0,-1,0,3,2,0,0,2,0,-1,2,1,3,3,-1,1,0,2,2,1,3,1,3,0,0,1,97355.0,551,99460.0
1,1,3,-1,3,1,0,1,2,1,-1,2,2,0,0,2,0,0,1,1,1,3,0,0,-1,-1,1,2,2,1,0,2,2,0,2,0,-1,3,3,1,2,3,-1,0,2,-1,1,0,2,0,96998.0,593,99423.0
2,1,2,3,-1,0,0,0,3,1,0,0,0,2,2,2,1,0,-1,-1,-1,2,-1,0,1,-1,0,1,-1,1,1,-1,-1,2,0,3,-1,1,-1,2,0,1,-1,1,2,-1,2,2,2,0,97334.0,504,99504.0
2,2,1,1,-1,2,2,3,0,3,0,3,2,0,1,2,1,3,0,2,2,2,2,0,1,0,0,1,1,1,3,0,1,0,0,1,2,1,-1,3,-1,0,-1,-1,3,0,0,2,-1,3,97083.0,597,99420.0
2,3,-1,0,1,0,2,-1,2,2,0,1,1,-1,2,0,0,0,2,0,0,3,0,1,0,2,-1,1,0,1,2,2,-1,1,-1,2,0,0,3,3,2,0,3,3,1,-1,-1,2,1,-1,97270.0,563,99460.0
0,1,2,2,-1,2,3,0,3,3,1,2,-1,1,-1,2,-1,1,2,2,1,3,2,1,-1,1,0,0,0,2,0,0,1,0,0,2,2,2,0,2,0,-1,2,-1,-1,1,0,3,0,2,97124.0,587,99449.0
0,1,2,1,3,2,1,3,1,-1,-1,1,0,-1,1,-1,-1,0,3,2,0,1,3,3,0,2,3,0,1,1,0,0,1,3,2,2,-1,-1,2,-1,-1,2,1,0,-1,3,2,3,0,1,97420.0,553,99464.0
3,-1,1,0,1,0,3,1,3,3,2,2,0,0,1,1,0,0,2,0,-1,-1,1,2,1,-1,-1,2,1,1,1,1,2,2,1,0,3,0,2,0,0,1,2,2,0,2,3,1,2,0,96833.0,613,99380.0
2,3,1,2,2,1,3,1,3,3,1,0,0,2,0,0,1,-1,1,2,-1,2,2,1,0,3,1,3,1,2,3,3,1,0,2,0,1,-1,2,3,2,0,3,3,0,0,0,2,0,0,96916.0,647,99365.0
3,0,-1,2,2,1,0,2,1,1,-1,0,2,2,0,1,0,1,0,1,2,0,2,1,0,0,2,1,2,1,2,2,1,3,1,0,-1,2,0,3,3,2,0,2,-1,1,3,-1,0,1,96971.0,623,99395.0
2,0,2,0,1,0,0,2,0,-1,0,-1,2,1,-1,2,1,3,3,1,3,3,-1,0,2,3,1,1,1,1,0,0,-1,-1,1,0,1,2,2,1,0,2,0,2,1,0,2,2,-1,3,97130.0,590,99454.0
2,2,0,1,2,0,-1,0,0,-1,2,1,0,0,3,1,1,2,2,1,3,2,-1,3,-1,1,1,0,1,2,-1,0,-1,-1,2,2,0,0,2,0,3,1,0,2,3,2,1,1,0,0,97155.0,597,99445.0
0,0,1,0,3,0,2,1,-1,0,3,1,3,3,2,1,1,2,0,-1,3,-1,0,1,3,3,0,3,0,2,1,-1,0,-1,3,1,2,2,2,2,3,2,-1,1,-1,1,3,2,2,0,97260.0,595,99420.0
2,0,1,1,0,1,2,2,3,1,1,-1,2,0,3,-1,0,2,0,1,3,-1,2,0,-1,0,0,2,3,1,2,-1,0,2,0,3,0,2,3,2,0,3,-1,2,-1,3,-1,1,2,0,97256.0,582,99434.0
2,-1,0,3,-1,2,0,-1,0,1,0,1,0,1,1,0,3,2,1,1,1,1,3,1,2,2,2,2,3,2,0,0,-1,2,0,1,0,-1,1,-1,2,3,0,2,3,1,2,1,3,3,97085.0,606,99408.0
-1,1,0,0,2,2,0,1,0,1,-1,2,3,2,1,2,0,-1,-1,-1,0,1,1,2,1,-1,-1,2,2,3,0,0,-1,1,2,1,0,2,-1,1,-1,0,2,0,-1,0,1,-1,3,2,97423.0,528,99498.0
0,3,2,2,0,1,0,1,1,3,0,2,2,2,3,1,3,3,1,1,3,-1,3,2,-1,3,2,1,1,0,0,1,0,0,1,1,2,0,0,2,3,-1,-1,0,0,-1,1,3,2,2,96911.0,617,99382.0
3,1,0,0,-1,2,3,1,3,2,3,2,-1,3,0,0,3,1,-1,-1,1,1,3,-1,2,1,0,2,3,0,1,-1,0,1,3,0,-1,2,2,0,3,3,2,2,1,2,-1,2,0,2,97523.0,593,99467.0
-1,2,2,-1,3,2,2,3,-1,2,2,1,1,0,0,-1,1,2,1,0,2,-1,1,0,-1,0,2,1,0,-1,1,0,-1,1,1,2,0,0,0,0,-1,3,2,0,1,2,2,-1,-1,1,97311.0,537,99474.0
3,3,2,2,-1,2,1,3,0,2,0,1,0,2,-1,1,1,2,2,1,2,0,1,-1,3,2,0,2,0,-1,1,3,-1,3,0,1,0,1,2,0,-1,0,0,1,1,0,1,3,1,3,97167.0,601,99422.0
3,2,-1,-1,0,1,0,2,2,2,1,1,1,2,3,0,1,0,2,0,-1,1,1,1,1,1,1,2,2,-1,2,1,-1,2,0,0,-1,2,2,2,0,1,-1,1,-1,3,3,-1,0,0,97147.0,560,99432.0
